country,year,name,artists,rank,genre
ca,2021,Bad Habits,['Ed Sheeran'],5,Dance-Pop
ca,2021,Rockin' Around The Christmas Tree,['Brenda Lee'],6,Christmas
ca,2021,MONTERO (Call Me By Your Name),['Lil Nas X'],7,Pop Rap
ca,2021,Shivers,['Ed Sheeran'],8,Dance-Pop
ca,2021,Way 2 Sexy (with Future & Young Thug),"['Drake', 'Future', 'Young Thug']",9,Trap
ca,2021,All I Want for Christmas Is You,['Mariah Carey'],10,Christmas
ca,2022,Anti-Hero,['Taylor Swift'],1,Synthpop
ca,2022,Kill Bill,['SZA'],2,Alternative Pop
ca,2022,Lavender Haze,['Taylor Swift'],3,Alternative Pop
ca,2022,Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",4,Trap
ca,2022,Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",5,Alternative R&B
ca,2022,Midnight Rain,['Taylor Swift'],6,Alternative Pop
ca,2022,Maroon,['Taylor Swift'],7,Alternative Pop
ca,2022,Snow On The Beach (feat. Lana Del Rey),"['Taylor Swift', 'Lana Del Rey']",8,Alternative Pop
ca,2022,"You're On Your Own, Kid",['Taylor Swift'],9,Alternative Pop
ca,2022,Karma,['Taylor Swift'],10,Synthpop
gb,2018,"thank u, next",['Ariana Grande'],1,Contemporary R&B
gb,2018,All I Want for Christmas Is You,['Mariah Carey'],2,Christmas
gb,2018,Last Christmas,['Wham!'],3,Christmas
gb,2018,In My Feelings,['Drake'],4,Pop Rap
gb,2018,Promises (with Sam Smith),"['Calvin Harris', 'Sam Smith', 'Jessie Reyez']",5,Dance-Pop
gb,2018,One Kiss (with Dua Lipa),"['Calvin Harris', 'Dua Lipa']",6,Dance-Pop
gb,2018,Do They Know It's Christmas? - 1984 Version,['Band Aid'],7,Christmas
gb,2018,Funky Friday,"['Dave', 'Fredo']",8,Trap
gb,2018,Eastside (with Halsey & Khalid),"['benny blanco', 'Halsey', 'Khalid']",9,Contemporary R&B
gb,2018,Rockin' Around The Christmas Tree,['Brenda Lee'],10,Christmas
gb,2019,Own It (feat. Ed Sheeran & Burna Boy),"['Stormzy', 'Burna Boy', 'Ed Sheeran']",1,Afrobeats
gb,2019,Dance Monkey,['Tones And I'],2,Dance-Pop
gb,2019,Don't Start Now,['Dua Lipa'],3,Dance-Pop
gb,2019,Before You Go,['Lewis Capaldi'],4,Adult Contemporary
gb,2019,ME! (feat. Brendon Urie of Panic! At The Disco),"['Taylor Swift', 'Brendon Urie']",5,Pop
gb,2019,Someone You Loved,['Lewis Capaldi'],6,Adult Contemporary
gb,2019,All I Want for Christmas Is You,['Mariah Carey'],7,Christmas
gb,2019,ROXANNE,['Arizona Zervas'],8,Pop Rap
gb,2019,Señorita,"['Shawn Mendes', 'Camila Cabello']",9,Contemporary R&B
gb,2019,Last Christmas,['Wham!'],10,Christmas
gb,2020,All I Want for Christmas Is You,['Mariah Carey'],1,Christmas
gb,2020,Last Christmas,['Wham!'],2,Christmas
gb,2020,Mood (feat. iann dior),"['24kGoldn', 'iann dior']",3,Pop Rap
gb,2020,Head & Heart (feat. MNEK),"['Joel Corry', 'MNEK']",4,Dance-Pop
gb,2020,Rockin' Around The Christmas Tree,['Brenda Lee'],5,Christmas
gb,2020,positions,['Ariana Grande'],6,Contemporary R&B
gb,2020,It's Beginning to Look a Lot like Christmas,['Michael Bublé'],7,Christmas
gb,2020,Blinding Lights,['The Weeknd'],8,Synthpop
gb,2020,WAP (feat. Megan Thee Stallion),"['Cardi B', 'Megan Thee Stallion']",9,Trap
gb,2020,Santa Tell Me,['Ariana Grande'],10,Christmas
gb,2021,Easy On Me,['Adele'],1,Adult Contemporary
gb,2021,good 4 u,['Olivia Rodrigo'],2,Pop Rock
gb,2021,Bad Habits,['Ed Sheeran'],3,Dance-Pop
gb,2021,Last Christmas,['Wham!'],4,Christmas
gb,2021,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",5,Synthpop
gb,2021,Shivers,['Ed Sheeran'],6,Dance-Pop
