country,year,track_id,name,artists,duration,artist_genres,explicit,total_streams,weeks_on_chart,average_streams,rank
no,2022,6uD9bwAyCMeKmf5xr2WDRa,Høyt over havet,['Chris Holsten'],175962,"['norwegian indie', 'norwegian pop']",false,2393071,14,170933.64285714287,126
no,2022,0VJddJ3CwYfjT67HXS4CEr,Brightsider,['Dagny'],196680,"['tropical house', 'norwegian pop', 'electropop']",false,3417618,20,170880.9,127
no,2022,46IZ0fSY2mpAiktS3KOqds,Easy On Me,['Adele'],224694,"['british soul', 'pop', 'pop soul', 'uk pop']",false,7474317,44,169870.8409090909,128
no,2022,32vE1nuG8T9c8bhmZdRY6d,Cooped Up (with Roddy Ricch),"['Post Malone', 'Roddy Ricch']",185857,"['trap', 'melodic rap', 'dfw rap', 'rap']",true,2026375,12,168864.58333333334,129
no,2022,77CbBhyQwjWgF5EWT76cPY,SALMALAKS,"['Karpe', 'Omar Sheriff']",232363,"['norwegian pop', 'norwegian hip hop', 'norwegian indie']",true,6580218,39,168723.53846153847,130
no,2022,6Z165JvPnS8PYvGW8oLGLc,Flowers,['Lauren Spencer Smith'],157373,"['pop', 'alt z', 'gen z singer-songwriter', 'uk pop']",true,3702706,22,168304.81818181818,131
no,2022,0S1czUi29BRmzhNHO84EHf,Kompis,['Halva Priset'],161493,['norwegian pop'],true,4355432,26,167516.61538461538,132
no,2022,50nfwKoDiSYg8zOCREWAm5,Shivers,['Ed Sheeran'],207853,"['pop', 'uk pop']",false,7365936,44,167407.63636363635,133
no,2022,6gI9b2VsoWhjhIuIeToDVs,Die Hard,"['Kendrick Lamar', 'Blxst', 'Amanda Reifer']",239026,"['pop rap', 'conscious hip hop', 'barbadian pop', 'west coast rap', 'hip hop', 'rap']",true,502096,3,167365.33333333334,134
no,2022,1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,"['Imagine Dragons', 'JID', 'Arcane', 'League of Legends']",173381,"['speedrun', 'modern rock', 'video game music', 'rock', 'hip hop', 'rap']",false,5344597,32,167018.65625,135
no,2022,4LtFT8rwlhwwkVN9HxbyRf,Mother,['Highasakite'],246806,"['norwegian indie', 'norwegian pop']",true,2671660,16,166978.75,136
no,2022,1GGk3Q73VX2eBLQ2Yp5Kr2,Fuckboy,"['Martine Lunde', 'Norges Nye Megahit']",133072,['norwegian pop'],true,7614543,46,165533.54347826086,137
no,2022,2bSVFkcYAQwkGlGK7v1Ihl,Smilet i ditt eget speil,['Chris Holsten'],172833,"['norwegian pop', 'norwegian indie']",false,7596326,46,165137.52173913043,138
no,2022,3eX0NZfLtGzoLUxPNvRfqm,Maroon,['Taylor Swift'],218270,['pop'],true,494023,3,164674.33333333334,139
no,2022,3EzeIilO4QWtrGRqG9TVqB,Fredag - Digg å være norsk,['Mr Melk'],133457,['norwegian pop'],true,2958639,18,164368.83333333334,140
no,2022,1zu2GKHPJIsUu80SUJX4H4,Devil Doesn’t Bargain,['Alec Benjamin'],163613,"['pop', 'electropop', 'alt z']",false,3606236,22,163919.81818181818,141
no,2022,38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),['Lil Nas X'],210575,"['pop', 'lgbtq+ hip hop']",true,1147169,7,163881.2857142857,142
no,2022,3rWDp9tBPQR9z6U5YyRSK4,Midnight Rain,['Taylor Swift'],174782,['pop'],false,490815,3,163605.0,143
no,2022,7ASJOKaSkNXgaF5h61MolO,Fredag,['Aiba'],191483,"['norwegian pop', 'norwegian pop rap']",false,1624168,10,162416.8,144
no,2022,2KnLkZ3z7PO3kgVGHGqDpD,It'll Be Okay,['Shawn Mendes'],222800,"['dance pop', 'viral pop', 'pop', 'canadian pop']",false,5169557,32,161548.65625,145
no,2022,1HvTxgCj0mTzQlEo0zLvFb,In My Head,['Lil Tjay'],135264,"['nyc rap', 'melodic rap', 'brooklyn drill']",true,806848,5,161369.6,146
no,2022,03A6SBlg1C7T8UMjBSz4Zn,Hjorterud Allé,['Hjorterud Allé'],152195,[],false,1440231,9,160025.66666666666,147
no,2022,0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),"['Post Malone', 'Doja Cat']",192840,"['pop', 'melodic rap', 'dfw rap', 'dance pop', 'rap']",true,2549008,16,159313.0,148
no,2022,2bdqU7C4softKNcMYDFi96,chaotic,['Tate McRae'],178720,['pop'],true,1591876,10,159187.6,149
no,2022,1Ame8XTX6QHY0l0ahqUhgv,THE LONELIEST,['Måneskin'],247067,"['italian pop', 'indie rock italiano']",false,634744,4,158686.0,150
no,2022,5WCksBebNJWqdsDQnHHf71,Club Banger,['Donzo x Mitchi'],186890,[],true,3958109,25,158324.36,151
no,2022,135Lf4Q0CzlMNfOxbEUsLH,GHOST TOWN,['Benson Boone'],193733,"['pop', 'uk pop']",false,6919632,44,157264.36363636365,152
no,2022,1r8ZCjfrQxoy2wVaBUbpwg,Thousand Miles,['The Kid LAROI'],164781,"['australian hip hop', 'pop']",true,2512462,16,157028.875,153
no,2022,531KGXtBroSrOX9LVmiIgc,Starlight,['Dave'],211935,['uk hip hop'],true,1569307,10,156930.7,154
